[
  <<|java+class:///org/castor/xmlctf/SourceGeneratorTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_test|,|java+method:///org/castor/xmlctf/SourceGeneratorTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/SourceGeneratorTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/verbose(java.lang.String)|,|java+method:///org/castor/xmlctf/SourceGeneratorTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/SourceGeneratorTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_rootClass|,|java+method:///org/castor/xmlctf/SourceGeneratorTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/SourceGeneratorTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_rootClassName|,|java+method:///org/castor/xmlctf/SourceGeneratorTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/SourceGeneratorTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_name|,|java+method:///org/castor/xmlctf/SourceGeneratorTestCase/setUp()|>>,
  <<|java+class:///org/castor/xmlctf/SourceGeneratorTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_rootClassName|,|java+constructor:///org/castor/xmlctf/SourceGeneratorTestCase/SourceGeneratorTestCase(org.castor.xmlctf.CastorTestCase,org.exolab.castor.tests.framework.testDescriptor.UnitTestCase,org.exolab.castor.tests.framework.testDescriptor.SourceGeneratorTest)|>>,
  <<|java+class:///org/castor/xmlctf/SourceGeneratorTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_hasDump|,|java+constructor:///org/castor/xmlctf/SourceGeneratorTestCase/SourceGeneratorTestCase(org.castor.xmlctf.CastorTestCase,org.exolab.castor.tests.framework.testDescriptor.UnitTestCase,org.exolab.castor.tests.framework.testDescriptor.SourceGeneratorTest)|>>,
  <<|java+class:///org/castor/xmlctf/SourceGeneratorTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_outputRootFile|,|java+constructor:///org/castor/xmlctf/SourceGeneratorTestCase/SourceGeneratorTestCase(org.castor.xmlctf.CastorTestCase,org.exolab.castor.tests.framework.testDescriptor.UnitTestCase,org.exolab.castor.tests.framework.testDescriptor.SourceGeneratorTest)|>>,
  <<|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/RootTypeDescriptor|,|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/StringTypeDescriptor|>,220,<|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/StringTypeDescriptor/getIdentity()|,|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/RootTypeDescriptor/getIdentity()|>>,
  <<|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/MarshalDescriptor|,|java+class:///org/exolab/castor/tests/framework/testDescriptor/descriptors/ConfigurationTypeDescriptor|>,220,<|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/ConfigurationTypeDescriptor/getIdentity()|,|java+method:///org/exolab/castor/tests/framework/testDescriptor/descriptors/MarshalDescriptor/getIdentity()|>>,
  <<|java+class:///org/castor/xmlctf/OnlySourceGenerationTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_name|,|java+method:///org/castor/xmlctf/OnlySourceGenerationTestCase/suite()|>>,
  <<|java+class:///org/castor/xmlctf/OnlySourceGenerationTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/getTestSuiteName()|,|java+method:///org/castor/xmlctf/OnlySourceGenerationTestCase/suite()|>>,
