[
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(9829,31,<300,15>,<300,46>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(9829,31,<300,15>,<300,46>)>,
  <<|java+class:///org/castor/ddlgen/schemaobject/Table|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(9877,25,<301,15>,<301,40>)>,
  <<|java+class:///org/castor/ddlgen/schemaobject/Table|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(9877,25,<301,15>,<301,40>)>,
  <<|java+interface:///java/util/List|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(9919,27,<302,15>,<302,42>)>,
  <<|java+interface:///java/util/List|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(9919,27,<302,15>,<302,42>)>,
  <<|java+class:///org/castor/ddlgen/schemaobject/Table|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(9963,45,<303,15>,<303,60>)>,
  <<|java+class:///org/castor/ddlgen/schemaobject/Table|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(9963,45,<303,15>,<303,60>)>,
  <<|java+interface:///java/util/List|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(10025,47,<304,15>,<304,62>)>,
  <<|java+interface:///java/util/List|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(10025,47,<304,15>,<304,62>)>,
  <<|java+class:///org/castor/ddlgen/schemaobject/DefaultField|,|java+class:///org/castor/ddlgen/schemaobject/Field|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/DefaultField.java|(1672,21,<44,21>,<44,42>)>,
  <<|java+class:///org/castor/ddlgen/keygenerator/SequenceKeyGenerator|,|java+class:///org/castor/ddlgen/schemaobject/KeyGenerator|>,203,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2SequenceKeyGeneratorFactory.java|(1532,26,<39,43>,<39,69>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Main.java|(3297,40,<85,8>,<85,48>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Main.java|(3348,39,<86,8>,<86,47>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Main.java|(3398,54,<87,8>,<87,62>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Main.java|(3463,67,<88,8>,<88,75>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Main.java|(3541,31,<89,8>,<89,39>)>,
  <<|java+class:///java/io/FileOutputStream|,|java+class:///java/io/OutputStream|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/Main.java|(4106,52,<102,12>,<102,64>)>,
  <<|java+class:///org/castor/ddlgen/keygenerator/SequenceKeyGenerator|,|java+class:///org/castor/ddlgen/schemaobject/KeyGenerator|>,206,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/keygenerator/SequenceKeyGeneratorFactory.java|(2093,42,<59,15>,<59,57>)>,
  <<|java+class:///org/castor/ddlgen/keygenerator/SequenceKeyGenerator|,|java+class:///org/castor/ddlgen/schemaobject/KeyGenerator|>,206,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/keygenerator/SequenceKeyGeneratorFactory.java|(1875,30,<51,15>,<51,45>)>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+field:///org/castor/ddlgen/schemaobject/PrimaryKey/_fields|>,
  <<|java+class:///org/castor/ddlgen/schemaobject/PrimaryKey|,|java+class:///java/lang/Object|>,203,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/PrimaryKey.java|(3866,18,<125,24>,<125,42>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/PrimaryKey.java|(3902,31,<126,15>,<126,46>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/PrimaryKey.java|(3902,31,<126,15>,<126,46>)>,
  <<|java+class:///org/castor/ddlgen/schemaobject/Table|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/PrimaryKey.java|(3950,25,<127,15>,<127,40>)>,
  <<|java+class:///org/castor/ddlgen/schemaobject/Table|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/PrimaryKey.java|(3950,25,<127,15>,<127,40>)>,
  <<|java+interface:///java/util/List|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/PrimaryKey.java|(3992,27,<128,15>,<128,42>)>,
  <<|java+interface:///java/util/List|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/PrimaryKey.java|(3992,27,<128,15>,<128,42>)>,
  <<|java+class:///org/castor/ddlgen/engine/pointbase/PointBaseTypeMapper|,|java+interface:///org/castor/ddlgen/TypeMapper|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/pointbase/PointBaseGenerator.java|(2227,58,<63,8>,<63,66>)>,
  <<|java+class:///org/castor/ddlgen/engine/pointbase/PointBaseSchemaFactory|,|java+interface:///org/castor/ddlgen/SchemaFactory|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/pointbase/PointBaseGenerator.java|(2296,46,<64,8>,<64,54>)>,
  <<|java+class:///org/castor/ddlgen/DDLGenConfiguration|,|java+class:///org/castor/ddlgen/Configuration|>,202,|java+variable:///org/castor/ddlgen/engine/pointbase/PointBaseGenerator/generateHeader(org.castor.ddlgen.DDLWriter)/conf|>,
  <<|java+class:///java/util/Date|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/pointbase/PointBaseGenerator.java|(3046,26,<93,8>,<93,34>)>,
  <<|java+class:///java/util/HashMap|,|java+interface:///java/util/Map|>,202,|java+field:///org/castor/ddlgen/AbstractTypeMapper/_types|>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/AbstractTypeMapper.java|(3007,23,<81,15>,<81,38>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/oracle/OracleTypeMapper.java|(2445,43,<62,8>,<62,51>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/oracle/OracleTypeMapper.java|(2499,73,<63,8>,<63,81>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/oracle/OracleTypeMapper.java|(2583,48,<64,8>,<64,56>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/NoParamType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/oracle/OracleTypeMapper.java|(2642,49,<65,8>,<65,57>)>,
