[
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/test/java/org/castor/xml/schema/writer/GroupTest.java|(3208,23,<103,8>,<103,31>),|java+method:///org/exolab/castor/xml/schema/XMLType/setName(java.lang.String)|>,
  <<|java+class:///org/exolab/castor/xml/schema/Group|,|java+class:///org/exolab/castor/xml/schema/Particle|>,210,|project://castor-1.3.3_xml-schema/src/test/java/org/castor/xml/schema/writer/GroupTest.java|(3571,24,<114,8>,<114,32>),|java+method:///org/exolab/castor/xml/schema/Particle/setMinOccurs(int)|>,
  <<|java+class:///org/exolab/castor/xml/schema/Group|,|java+class:///org/exolab/castor/xml/schema/Particle|>,210,|project://castor-1.3.3_xml-schema/src/test/java/org/castor/xml/schema/writer/GroupTest.java|(3606,41,<115,8>,<115,49>),|java+method:///org/exolab/castor/xml/schema/Particle/setMaxOccurs(int)|>,
  <<|java+class:///org/exolab/castor/xml/schema/Group|,|java+class:///org/exolab/castor/xml/schema/Particle|>,210,|project://castor-1.3.3_xml-schema/src/test/java/org/castor/xml/schema/writer/GroupTest.java|(4045,24,<127,8>,<127,32>),|java+method:///org/exolab/castor/xml/schema/Particle/setMinOccurs(int)|>,
  <<|java+class:///org/exolab/castor/xml/schema/Group|,|java+class:///org/exolab/castor/xml/schema/Particle|>,210,|project://castor-1.3.3_xml-schema/src/test/java/org/castor/xml/schema/writer/GroupTest.java|(4080,41,<128,8>,<128,49>),|java+method:///org/exolab/castor/xml/schema/Particle/setMaxOccurs(int)|>,
  <<|java+class:///org/exolab/castor/xml/schema/SimpleType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/AttributeDecl.java|(8317,21,<256,29>,<256,50>),|java+method:///org/exolab/castor/xml/schema/XMLType/getType()|>,
  <<|java+class:///org/exolab/castor/xml/schema/SimpleType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/AttributeDecl.java|(8411,18,<259,29>,<259,47>),|java+method:///org/exolab/castor/xml/schema/XMLType/getSchema()|>,
  <<|java+class:///org/exolab/castor/xml/schema/SimpleType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/AttributeDecl.java|(8543,16,<261,57>,<261,73>),|java+method:///org/exolab/castor/xml/schema/XMLType/getName()|>,
  <<|java+class:///org/exolab/castor/xml/schema/TypeReference|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/ElementDecl.java|(24393,23,<763,8>,<763,31>),|java+method:///org/exolab/castor/xml/schema/XMLType/setName(java.lang.String)|>,
  <<|java+class:///org/exolab/castor/xml/schema/TypeReference|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/ElementDecl.java|(24427,28,<764,8>,<764,36>),|java+method:///org/exolab/castor/xml/schema/XMLType/setSchema(org.exolab.castor.xml.schema.Schema)|>,
  <<|java+class:///org/exolab/castor/xml/schema/SimpleType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/ElementDecl.java|(27193,22,<836,46>,<836,68>),|java+method:///org/exolab/castor/xml/schema/XMLType/getSchema()|>,
  <<|java+class:///org/exolab/castor/xml/schema/SimpleType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/ElementDecl.java|(27904,20,<849,32>,<849,52>),|java+method:///org/exolab/castor/xml/schema/XMLType/getName()|>,
